start_neighborhood,trip_duration
Hell's Kitchen,173.0
Williamsburg,2022.0
East Village,794.0
Midtown South-Flatiron-Union Square,872.0
Midtown-Times Square,608.0
Lower East Side,1025.0
Tribeca-Civic Center,187.0
Midtown-Times Square,424.0
Midtown South-Flatiron-Union Square,992.0
Lower East Side,548.0
Central Park,1556.0
Midtown-Times Square,545.0
Chelsea-Hudson Yards,427.0
SoHo-Little Italy-Hudson Square,346.0
Murray Hill-Kips Bay,328.0
Williamsburg,1288.0
Chinatown-Two Bridges,332.0
Murray Hill-Kips Bay,297.0
West Village,636.0
Financial District-Battery Park City,767.0
Financial District-Battery Park City,1285.0
Midtown-Times Square,502.0
Financial District-Battery Park City,1014.0
Financial District-Battery Park City,796.0
West Village,362.0
Financial District-Battery Park City,272.0
Lower East Side,293.0
Gramercy,205.0
Financial District-Battery Park City,313.0
West Village,962.0
Chelsea-Hudson Yards,818.0
Tribeca-Civic Center,258.0
Tribeca-Civic Center,659.0
Williamsburg,263.0
Lower East Side,1405.0
West Village,289.0
Gramercy,1287.0
Chelsea-Hudson Yards,1206.0
Chelsea-Hudson Yards,594.0
Tribeca-Civic Center,1215.0
Midtown-Times Square,827.0
Hell's Kitchen,1043.0
East Village,948.0
Murray Hill-Kips Bay,1148.0
Midtown-Times Square,856.0
East Village,592.0
Financial District-Battery Park City,72.0
Chelsea-Hudson Yards,202.0
Financial District-Battery Park City,189.0
Greenwich Village,760.0
Chelsea-Hudson Yards,813.0
Downtown Brooklyn-DUMBO-Boerum Hill,815.0
East Village,613.0
Hell's Kitchen,157.0
West Village,514.0
SoHo-Little Italy-Hudson Square,720.0
Chelsea-Hudson Yards,415.0
West Village,285.0
Gramercy,552.0
Midtown South-Flatiron-Union Square,457.0
Hell's Kitchen,384.0
Greenwich Village,1443.0
Gramercy,203.0
Hell's Kitchen,554.0
Downtown Brooklyn-DUMBO-Boerum Hill,1726.0
Financial District-Battery Park City,1181.0
Greenwich Village,221.0
Financial District-Battery Park City,1059.0
Murray Hill-Kips Bay,472.0
Greenwich Village,267.0
West Village,1151.0
Greenwich Village,95.0
Murray Hill-Kips Bay,224.0
East Village,1075.0
Murray Hill-Kips Bay,537.0
Hell's Kitchen,795.0
Midtown-Times Square,243.0
West Village,1624.0
Downtown Brooklyn-DUMBO-Boerum Hill,375.0
Hell's Kitchen,1498.0
West Village,1083.0
Lower East Side,568.0
East Village,492.0
Greenwich Village,237.0
Midtown-Times Square,1145.0
Murray Hill-Kips Bay,1659.0
Midtown-Times Square,545.0
Gramercy,867.0
Murray Hill-Kips Bay,581.0
Midtown South-Flatiron-Union Square,386.0
